"","sample_id","sample_type","surface_or_deep","sample_type_depth","sample_number","site_name","mountain_range","latitude","longitude","elevation","notes","depth_start","depth_end","measured_temperature","temperature_type","Tann","Tmin","Tmax","MAP","climate_data_source","Tann_snotel","Tmin_snotel","Tmax_snotel","MAP_snotel"
"MAWC.CL4B","MAWC.CL4B","peat","deep","peat_deep",23,"Crystal Lake",NA,37.956666,-107.66446,2933,"",53,55,20.3,"system water temperature",2.8,-5.1,10.7,839.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CL5A","MAWC.CL5A","peat","surface","peat_surface",24,"Crystal Lake",NA,37.956666,-107.66446,2933,"",3,5,20.3,"system water temperature",2.8,-5.1,10.7,839.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CL5B","MAWC.CL5B","peat","deep","peat_deep",25,"Crystal Lake",NA,37.956666,-107.66446,2933,"",33,35,20.3,"system water temperature",2.8,-5.1,10.7,839.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO1A","MAWC.CO1A","peat","surface","peat_surface",26,"Coney Creek",NA,44.609511,-107.30329,2576,"access from west site instead of east side when leaving laramie for bighorns",3,5,17.5,"system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO1B","MAWC.CO1B","peat","deep","peat_deep",27,"Coney Creek",NA,44.609511,-107.30329,2576,"access from west site instead of east side when leaving laramie for bighorns",30,32,17.5,"system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO2A","MAWC.CO2A","peat","surface","peat_surface",28,"Coney Creek",NA,44.609511,-107.30329,2576,"access from west site instead of east side when leaving laramie for bighorns",3,5,17.5,"system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO2B","MAWC.CO2B","peat","deep","peat_deep",29,"Coney Creek",NA,44.609511,-107.30329,2576,"access from west site instead of east side when leaving laramie for bighorns",46,48,17.5,"system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO3A","MAWC.CO3A","peat","surface","peat_surface",30,"Coney Creek",NA,44.609511,-107.30329,2576,"access from west site instead of east side when leaving laramie for bighorns",3,5,17.5,"system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO3B","MAWC.CO3B","peat","deep","peat_deep",31,"Coney Creek",NA,44.609511,-107.30329,2576,"access from west site instead of east side when leaving laramie for bighorns",45,47,17.5,"system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO4A","MAWC.CO4A","peat","surface","peat_surface",32,"Coney Creek",NA,44.609511,-107.30329,2576,"access from west site instead of east side when leaving laramie for bighorns",3,5,17.5,"system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CO4B","MAWC.CO4B","peat","deep","peat_deep",33,"Coney Creek",NA,44.609511,-107.30329,2576,"access from west site instead of east side when leaving laramie for bighorns",44,46,17.5,"system water temperature",1.9,-4.1,7.8,669.75,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP1A","MAWC.CP1A","peat","surface","peat_surface",34,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,15.8,"system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP1B","MAWC.CP1B","peat","deep","peat_deep",35,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",52,54,15.8,"system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP2A","MAWC.CP2A","peat","surface","peat_surface",36,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,15.8,"system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP2B","MAWC.CP2B","peat","deep","peat_deep",37,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",21,23,15.8,"system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP3A","MAWC.CP3A","peat","surface","peat_surface",38,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,15.8,"system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP3B","MAWC.CP3B","peat","deep","peat_deep",39,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",21,23,15.8,"system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP4A","MAWC.CP4A","peat","surface","peat_surface",40,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,15.8,"system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CR2B","MAWC.CR2B","peat","deep","peat_deep",41,"Crane Lake fen",NA,38.978376,-108.11346,3094,"",5,7,14.7,"system water temperature",2.3,-3.9,8.5,861.5,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CR3B","MAWC.CR3B","peat","deep","peat_deep",42,"Crane Lake fen",NA,38.978376,-108.11346,3094,"",5,7,14.7,"system water temperature",2.3,-3.9,8.5,861.5,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CR4B","MAWC.CR4B","peat","deep","peat_deep",43,"Crane Lake fen",NA,38.978376,-108.11346,3094,"",5,7,14.7,"system water temperature",2.3,-3.9,8.5,861.5,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU1A","MAWC.CU1A","peat","surface","peat_surface",44,"Copper Creek",NA,44.713848,-107.4579,2543,"",3,5,14.9,"system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU1B","MAWC.CU1B","peat","deep","peat_deep",45,"Copper Creek",NA,44.713848,-107.4579,2543,"",49,51,14.9,"system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU2A","MAWC.CU2A","peat","surface","peat_surface",46,"Copper Creek",NA,44.713848,-107.4579,2543,"",3,5,14.9,"system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU2B","MAWC.CU2B","peat","deep","peat_deep",47,"Copper Creek",NA,44.713848,-107.4579,2543,"",21,23,14.9,"system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU3A","MAWC.CU3A","peat","surface","peat_surface",48,"Copper Creek",NA,44.713848,-107.4579,2543,"",3,5,14.9,"system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU3B","MAWC.CU3B","peat","deep","peat_deep",49,"Copper Creek",NA,44.713848,-107.4579,2543,"",19,21,14.9,"system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU4A","MAWC.CU4A","peat","surface","peat_surface",50,"Copper Creek",NA,44.713848,-107.4579,2543,"",3,5,14.9,"system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU4B","MAWC.CU4B","peat","deep","peat_deep",51,"Copper Creek",NA,44.713848,-107.4579,2543,"",11,13,14.9,"system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB1A","MAWC.FB1A","peat","surface","peat_surface",52,"Firebox Lake",NA,41.442108,-106.19111,2928,"",3,5,16.7,"system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB1B","MAWC.FB1B","peat","deep","peat_deep",53,"Firebox Lake",NA,41.442108,-106.19111,2928,"",12,14,16.7,"system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB2A","MAWC.FB2A","peat","surface","peat_surface",54,"Firebox Lake",NA,41.442108,-106.19111,2928,"",3,5,16.7,"system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB2B","MAWC.FB2B","peat","deep","peat_deep",55,"Firebox Lake",NA,41.442108,-106.19111,2928,"",12,14,16.7,"system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB3B","MAWC.FB3B","peat","deep","peat_deep",56,"Firebox Lake",NA,41.442108,-106.19111,2928,"",5,7,16.7,"system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB4B","MAWC.FB4B","peat","deep","peat_deep",57,"Firebox Lake",NA,41.442108,-106.19111,2928,"",3,5,16.7,"system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FR2B","MAWC.FR2B","peat","deep","peat_deep",58,"French Creek Swamp Complex",NA,44.354758,-106.98929,2481,"",5,7,6,"system water temperature",2.5,-3.5,8.5,569.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FR3A","MAWC.FR3A","peat","surface","peat_surface",59,"French Creek Swamp Complex",NA,44.354758,-106.98929,2481,"",3,5,6,"system water temperature",2.5,-3.5,8.5,569.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FR3B","MAWC.FR3B","peat","deep","peat_deep",60,"French Creek Swamp Complex",NA,44.354758,-106.98929,2481,"",5,7,6,"system water temperature",2.5,-3.5,8.5,569.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FR4A","MAWC.FR4A","peat","surface","peat_surface",61,"French Creek Swamp Complex",NA,44.354758,-106.98929,2481,"",3,5,6,"system water temperature",2.5,-3.5,8.5,569.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FR4B","MAWC.FR4B","peat","deep","peat_deep",62,"French Creek Swamp Complex",NA,44.354758,-106.98929,2481,"",5,7,6,"system water temperature",2.5,-3.5,8.5,569.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG1A","MAWC.GG1A","peat","surface","peat_surface",63,"Galloping Goose",NA,37.813727,-107.89493,3081,"add the hike up site",3,5,13.8,"system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG1B","MAWC.GG1B","peat","deep","peat_deep",64,"Galloping Goose",NA,37.813727,-107.89493,3081,"add the hike up site",15,17,13.8,"system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG2A","MAWC.GG2A","peat","surface","peat_surface",65,"Galloping Goose",NA,37.813727,-107.89493,3081,"add the hike up site",3,5,13.8,"system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG2B","MAWC.GG2B","peat","deep","peat_deep",66,"Galloping Goose",NA,37.813727,-107.89493,3081,"add the hike up site",69,71,13.8,"system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG3A","MAWC.GG3A","peat","surface","peat_surface",67,"Galloping Goose",NA,37.813727,-107.89493,3081,"add the hike up site",3,5,13.8,"system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG3B","MAWC.GG3B","peat","deep","peat_deep",68,"Galloping Goose",NA,37.813727,-107.89493,3081,"add the hike up site",70,72,13.8,"system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG4A","MAWC.GG4A","peat","surface","peat_surface",69,"Galloping Goose",NA,37.813727,-107.89493,3081,"add the hike up site",3,5,13.8,"system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG4B","MAWC.GG4B","peat","deep","peat_deep",70,"Galloping Goose",NA,37.813727,-107.89493,3081,"add the hike up site",10,12,13.8,"system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG5A","MAWC.GG5A","peat","surface","peat_surface",71,"Galloping Goose",NA,37.813727,-107.89493,3081,"add the hike up site",3,5,13.8,"system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG5B","MAWC.GG5B","peat","deep","peat_deep",72,"Galloping Goose",NA,37.813727,-107.89493,3081,"add the hike up site",18,20,13.8,"system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GM1A","MAWC.GM1A","peat","surface","peat_surface",73,"Grand Mesa",NA,39.030716,-108.05043,3257,"",3,5,19.4,"system water temperature",1,-5.1,7.2,1188.77,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GM1B","MAWC.GM1B","peat","deep","peat_deep",74,"Grand Mesa",NA,39.030716,-108.05043,3257,"",38,40,19.4,"system water temperature",1,-5.1,7.2,1188.77,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GM2A","MAWC.GM2A","peat","surface","peat_surface",75,"Grand Mesa",NA,39.030716,-108.05043,3257,"",3,5,19.4,"system water temperature",1,-5.1,7.2,1188.77,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GM3A","MAWC.GM3A","peat","surface","peat_surface",76,"Grand Mesa",NA,39.030716,-108.05043,3257,"",3,5,19.4,"system water temperature",1,-5.1,7.2,1188.77,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GM3B","MAWC.GM3B","peat","deep","peat_deep",77,"Grand Mesa",NA,39.030716,-108.05043,3257,"",36,38,19.4,"system water temperature",1,-5.1,7.2,1188.77,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB1A","MAWC.LB1A","peat","surface","peat_surface",78,"Little Bear",NA,44.937367,-109.51746,2915,"",3,5,18.9,"system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB2A","MAWC.LB2A","peat","surface","peat_surface",79,"Little Bear",NA,44.937367,-109.51746,2915,"",3,5,18.9,"system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB2B","MAWC.LB2B","peat","deep","peat_deep",80,"Little Bear",NA,44.937367,-109.51746,2915,"",11,13,18.9,"system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB3A","MAWC.LB3A","peat","surface","peat_surface",81,"Little Bear",NA,44.937367,-109.51746,2915,"",3,5,18.9,"system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB3B","MAWC.LB3B","peat","deep","peat_deep",82,"Little Bear",NA,44.937367,-109.51746,2915,"",11,13,18.9,"system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB4A","MAWC.LB4A","peat","surface","peat_surface",83,"Little Bear",NA,44.937367,-109.51746,2915,"",3,5,18.9,"system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB4B","MAWC.LB4B","peat","deep","peat_deep",84,"Little Bear",NA,44.937367,-109.51746,2915,"",16,18,18.9,"system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_0_1_cm","MAWC.LBFL21_1_0_1_cm","peat","surface","peat_surface",85,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_10_11_cm","MAWC.LBFL21_1_10_11_cm","peat","","peat_",86,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_12_13_cm","MAWC.LBFL21_1_12_13_cm","peat","","peat_",87,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_14_15_cm","MAWC.LBFL21_1_14_15_cm","peat","","peat_",88,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_16_17_cm","MAWC.LBFL21_1_16_17_cm","peat","deep","peat_deep",89,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_18_19_cm","MAWC.LBFL21_1_18_19_cm","peat","","peat_",90,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-4.9,7.3,1001.62,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_2_3_cm","MAWC.LBFL21_1_2_3_cm","peat","","peat_",91,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_20_21_cm","MAWC.LBFL21_1_20_21_cm","peat","","peat_",92,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_22_23_cm","MAWC.LBFL21_1_22_23_cm","peat","","peat_",93,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_24_25_cm","MAWC.LBFL21_1_24_25_cm","peat","","peat_",94,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_26_27_cm","MAWC.LBFL21_1_26_27_cm","peat","","peat_",95,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_28_29_cm","MAWC.LBFL21_1_28_29_cm","peat","","peat_",96,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_30_31_cm","MAWC.LBFL21_1_30_31_cm","peat","","peat_",97,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.4,-5.1,7.9,881.88,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_32_33_cm","MAWC.LBFL21_1_32_33_cm","peat","","peat_",98,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.4,-5.1,7.9,881.88,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_34_35_cm","MAWC.LBFL21_1_34_35_cm","peat","","peat_",99,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.4,-5.1,7.9,881.88,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_36_37_cm","MAWC.LBFL21_1_36_37_cm","peat","","peat_",100,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.4,-5.1,7.9,881.88,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_38_39_cm","MAWC.LBFL21_1_38_39_cm","peat","","peat_",101,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.4,-5.1,7.9,881.88,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_4_5_cm","MAWC.LBFL21_1_4_5_cm","peat","","peat_",102,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_6_7_cm","MAWC.LBFL21_1_6_7_cm","peat","","peat_",103,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_8_9_cm","MAWC.LBFL21_1_8_9_cm","peat","","peat_",104,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_1_2_cm","MAWC.LBFL21_2_1_2_cm","peat","","peat_",105,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_11_12_cm","MAWC.LBFL21_2_11_12_cm","peat","","peat_",106,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_2_13_14_cm","MAWC.LBFL21_2_13_14_cm","peat","","peat_",107,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"",1.2,-5.2,7.6,918.33,"PRISM 1991-2020 800-m",NA,NA,NA,NA
