sample_id,sample_type,surface_or_deep,sample_type_depth,sample_number,site_name,mountain_range,latitude,longitude,elevation,notes,depth_start,depth_end,measured_temperature,temperature_type,Tann,Tmin,Tmax,MAP,climate_data_source,Tann_snotel,Tmin_snotel,Tmax_snotel,MAP_snotel
MAWC.CC1A,peat,surface,peat_surface,8,Canyon Creek,,44.135311,-107.12094,2741,,3,5,14.6,system water temperature,1.1,-4.8,6.9,643.32,PRISM 1991-2020 800-m,,,,
MAWC.CC1B,peat,deep,peat_deep,9,Canyon Creek,,44.135311,-107.12094,2741,,14,16,14.6,system water temperature,1.1,-4.8,6.9,643.32,PRISM 1991-2020 800-m,,,,
MAWC.CC2A,peat,surface,peat_surface,10,Canyon Creek,,44.135311,-107.12094,2741,,3,5,14.6,system water temperature,1.1,-4.8,6.9,643.32,PRISM 1991-2020 800-m,,,,
MAWC.CC2B,peat,deep,peat_deep,11,Canyon Creek,,44.135311,-107.12094,2741,,13,15,14.6,system water temperature,1.1,-4.8,6.9,643.32,PRISM 1991-2020 800-m,,,,
MAWC.CC3A,peat,surface,peat_surface,12,Canyon Creek,,44.135311,-107.12094,2741,,3,5,14.6,system water temperature,1.1,-4.8,6.9,643.32,PRISM 1991-2020 800-m,,,,
MAWC.CC3B,peat,deep,peat_deep,13,Canyon Creek,,44.135311,-107.12094,2741,,20,22,14.6,system water temperature,1.1,-4.8,6.9,643.32,PRISM 1991-2020 800-m,,,,
MAWC.CC4A,peat,surface,peat_surface,14,Canyon Creek,,44.135311,-107.12094,2741,,3,5,14.6,system water temperature,1.1,-4.8,6.9,643.32,PRISM 1991-2020 800-m,,,,
MAWC.CC4B,peat,deep,peat_deep,15,Canyon Creek,,44.135311,-107.12094,2741,,20,22,14.6,system water temperature,1.1,-4.8,6.9,643.32,PRISM 1991-2020 800-m,,,,
MAWC.CL1A,peat,surface,peat_surface,16,Crystal Lake,,37.956666,-107.66446,2933,,1,3,20.3,system water temperature,2.8,-5.1,10.7,839.38,PRISM 1991-2020 800-m,,,,
MAWC.CL1B,peat,deep,peat_deep,17,Crystal Lake,,37.956666,-107.66446,2933,,13,15,20.3,system water temperature,2.8,-5.1,10.7,839.38,PRISM 1991-2020 800-m,,,,
MAWC.CL2A,peat,surface,peat_surface,18,Crystal Lake,,37.956666,-107.66446,2933,,3,5,20.3,system water temperature,2.8,-5.1,10.7,839.38,PRISM 1991-2020 800-m,,,,
MAWC.CL2B,peat,deep,peat_deep,19,Crystal Lake,,37.956666,-107.66446,2933,,10,12,20.3,system water temperature,2.8,-5.1,10.7,839.38,PRISM 1991-2020 800-m,,,,
MAWC.CL3A,peat,surface,peat_surface,20,Crystal Lake,,37.956666,-107.66446,2933,,3,5,20.3,system water temperature,2.8,-5.1,10.7,839.38,PRISM 1991-2020 800-m,,,,
MAWC.CL3B,peat,deep,peat_deep,21,Crystal Lake,,37.956666,-107.66446,2933,,14,16,20.3,system water temperature,2.8,-5.1,10.7,839.38,PRISM 1991-2020 800-m,,,,
MAWC.CL4A,peat,surface,peat_surface,22,Crystal Lake,,37.956666,-107.66446,2933,,3,5,20.3,system water temperature,2.8,-5.1,10.7,839.38,PRISM 1991-2020 800-m,,,,
MAWC.CL4B,peat,deep,peat_deep,23,Crystal Lake,,37.956666,-107.66446,2933,,53,55,20.3,system water temperature,2.8,-5.1,10.7,839.38,PRISM 1991-2020 800-m,,,,
MAWC.CL5A,peat,surface,peat_surface,24,Crystal Lake,,37.956666,-107.66446,2933,,3,5,20.3,system water temperature,2.8,-5.1,10.7,839.38,PRISM 1991-2020 800-m,,,,
MAWC.CL5B,peat,deep,peat_deep,25,Crystal Lake,,37.956666,-107.66446,2933,,33,35,20.3,system water temperature,2.8,-5.1,10.7,839.38,PRISM 1991-2020 800-m,,,,
MAWC.CO1A,peat,surface,peat_surface,26,Coney Creek,,44.609511,-107.30329,2576,access from west site instead of east side when leaving laramie for bighorns,3,5,17.5,system water temperature,1.9,-4.1,7.8,669.75,PRISM 1991-2020 800-m,,,,
MAWC.CO1B,peat,deep,peat_deep,27,Coney Creek,,44.609511,-107.30329,2576,access from west site instead of east side when leaving laramie for bighorns,30,32,17.5,system water temperature,1.9,-4.1,7.8,669.75,PRISM 1991-2020 800-m,,,,
MAWC.CO2A,peat,surface,peat_surface,28,Coney Creek,,44.609511,-107.30329,2576,access from west site instead of east side when leaving laramie for bighorns,3,5,17.5,system water temperature,1.9,-4.1,7.8,669.75,PRISM 1991-2020 800-m,,,,
MAWC.CO2B,peat,deep,peat_deep,29,Coney Creek,,44.609511,-107.30329,2576,access from west site instead of east side when leaving laramie for bighorns,46,48,17.5,system water temperature,1.9,-4.1,7.8,669.75,PRISM 1991-2020 800-m,,,,
MAWC.CO3A,peat,surface,peat_surface,30,Coney Creek,,44.609511,-107.30329,2576,access from west site instead of east side when leaving laramie for bighorns,3,5,17.5,system water temperature,1.9,-4.1,7.8,669.75,PRISM 1991-2020 800-m,,,,
MAWC.CO3B,peat,deep,peat_deep,31,Coney Creek,,44.609511,-107.30329,2576,access from west site instead of east side when leaving laramie for bighorns,45,47,17.5,system water temperature,1.9,-4.1,7.8,669.75,PRISM 1991-2020 800-m,,,,
MAWC.CO4A,peat,surface,peat_surface,32,Coney Creek,,44.609511,-107.30329,2576,access from west site instead of east side when leaving laramie for bighorns,3,5,17.5,system water temperature,1.9,-4.1,7.8,669.75,PRISM 1991-2020 800-m,,,,
MAWC.CO4B,peat,deep,peat_deep,33,Coney Creek,,44.609511,-107.30329,2576,access from west site instead of east side when leaving laramie for bighorns,44,46,17.5,system water temperature,1.9,-4.1,7.8,669.75,PRISM 1991-2020 800-m,,,,
MAWC.CP1A,peat,surface,peat_surface,34,Cottonwood Pass,,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,15.8,system water temperature,1,-6.4,8.4,655.69,PRISM 1991-2020 800-m,,,,
MAWC.CP1B,peat,deep,peat_deep,35,Cottonwood Pass,,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",52,54,15.8,system water temperature,1,-6.4,8.4,655.69,PRISM 1991-2020 800-m,,,,
MAWC.CP2A,peat,surface,peat_surface,36,Cottonwood Pass,,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,15.8,system water temperature,1,-6.4,8.4,655.69,PRISM 1991-2020 800-m,,,,
MAWC.CP2B,peat,deep,peat_deep,37,Cottonwood Pass,,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",21,23,15.8,system water temperature,1,-6.4,8.4,655.69,PRISM 1991-2020 800-m,,,,
MAWC.CP3A,peat,surface,peat_surface,38,Cottonwood Pass,,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,15.8,system water temperature,1,-6.4,8.4,655.69,PRISM 1991-2020 800-m,,,,
MAWC.CP3B,peat,deep,peat_deep,39,Cottonwood Pass,,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",21,23,15.8,system water temperature,1,-6.4,8.4,655.69,PRISM 1991-2020 800-m,,,,
MAWC.CP4A,peat,surface,peat_surface,40,Cottonwood Pass,,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,15.8,system water temperature,1,-6.4,8.4,655.69,PRISM 1991-2020 800-m,,,,
MAWC.CR2B,peat,deep,peat_deep,41,Crane Lake fen,,38.978376,-108.11346,3094,,5,7,14.7,system water temperature,2.3,-3.9,8.5,861.5,PRISM 1991-2020 800-m,,,,
MAWC.CR3B,peat,deep,peat_deep,42,Crane Lake fen,,38.978376,-108.11346,3094,,5,7,14.7,system water temperature,2.3,-3.9,8.5,861.5,PRISM 1991-2020 800-m,,,,
MAWC.CR4B,peat,deep,peat_deep,43,Crane Lake fen,,38.978376,-108.11346,3094,,5,7,14.7,system water temperature,2.3,-3.9,8.5,861.5,PRISM 1991-2020 800-m,,,,
MAWC.CU1A,peat,surface,peat_surface,44,Copper Creek,,44.713848,-107.4579,2543,,3,5,14.9,system water temperature,1.3,-4.9,7.6,643.22,PRISM 1991-2020 800-m,,,,
MAWC.CU1B,peat,deep,peat_deep,45,Copper Creek,,44.713848,-107.4579,2543,,49,51,14.9,system water temperature,1.3,-4.9,7.6,643.22,PRISM 1991-2020 800-m,,,,
MAWC.CU2A,peat,surface,peat_surface,46,Copper Creek,,44.713848,-107.4579,2543,,3,5,14.9,system water temperature,1.3,-4.9,7.6,643.22,PRISM 1991-2020 800-m,,,,
MAWC.CU2B,peat,deep,peat_deep,47,Copper Creek,,44.713848,-107.4579,2543,,21,23,14.9,system water temperature,1.3,-4.9,7.6,643.22,PRISM 1991-2020 800-m,,,,
MAWC.CU3A,peat,surface,peat_surface,48,Copper Creek,,44.713848,-107.4579,2543,,3,5,14.9,system water temperature,1.3,-4.9,7.6,643.22,PRISM 1991-2020 800-m,,,,
MAWC.CU3B,peat,deep,peat_deep,49,Copper Creek,,44.713848,-107.4579,2543,,19,21,14.9,system water temperature,1.3,-4.9,7.6,643.22,PRISM 1991-2020 800-m,,,,
MAWC.CU4A,peat,surface,peat_surface,50,Copper Creek,,44.713848,-107.4579,2543,,3,5,14.9,system water temperature,1.3,-4.9,7.6,643.22,PRISM 1991-2020 800-m,,,,
MAWC.CU4B,peat,deep,peat_deep,51,Copper Creek,,44.713848,-107.4579,2543,,11,13,14.9,system water temperature,1.3,-4.9,7.6,643.22,PRISM 1991-2020 800-m,,,,
MAWC.FB1A,peat,surface,peat_surface,52,Firebox Lake,,41.442108,-106.19111,2928,,3,5,16.7,system water temperature,1.3,-4.8,7.5,836.06,PRISM 1991-2020 800-m,,,,
MAWC.FB1B,peat,deep,peat_deep,53,Firebox Lake,,41.442108,-106.19111,2928,,12,14,16.7,system water temperature,1.3,-4.8,7.5,836.06,PRISM 1991-2020 800-m,,,,
MAWC.FB2A,peat,surface,peat_surface,54,Firebox Lake,,41.442108,-106.19111,2928,,3,5,16.7,system water temperature,1.3,-4.8,7.5,836.06,PRISM 1991-2020 800-m,,,,
MAWC.FB2B,peat,deep,peat_deep,55,Firebox Lake,,41.442108,-106.19111,2928,,12,14,16.7,system water temperature,1.3,-4.8,7.5,836.06,PRISM 1991-2020 800-m,,,,
MAWC.FB3B,peat,deep,peat_deep,56,Firebox Lake,,41.442108,-106.19111,2928,,5,7,16.7,system water temperature,1.3,-4.8,7.5,836.06,PRISM 1991-2020 800-m,,,,
MAWC.FB4B,peat,deep,peat_deep,57,Firebox Lake,,41.442108,-106.19111,2928,,3,5,16.7,system water temperature,1.3,-4.8,7.5,836.06,PRISM 1991-2020 800-m,,,,
MAWC.FR2B,peat,deep,peat_deep,58,French Creek Swamp Complex,,44.354758,-106.98929,2481,,5,7,6,system water temperature,2.5,-3.5,8.5,569.85,PRISM 1991-2020 800-m,,,,
MAWC.FR3A,peat,surface,peat_surface,59,French Creek Swamp Complex,,44.354758,-106.98929,2481,,3,5,6,system water temperature,2.5,-3.5,8.5,569.85,PRISM 1991-2020 800-m,,,,
MAWC.FR3B,peat,deep,peat_deep,60,French Creek Swamp Complex,,44.354758,-106.98929,2481,,5,7,6,system water temperature,2.5,-3.5,8.5,569.85,PRISM 1991-2020 800-m,,,,
MAWC.FR4A,peat,surface,peat_surface,61,French Creek Swamp Complex,,44.354758,-106.98929,2481,,3,5,6,system water temperature,2.5,-3.5,8.5,569.85,PRISM 1991-2020 800-m,,,,
MAWC.FR4B,peat,deep,peat_deep,62,French Creek Swamp Complex,,44.354758,-106.98929,2481,,5,7,6,system water temperature,2.5,-3.5,8.5,569.85,PRISM 1991-2020 800-m,,,,
MAWC.GG1A,peat,surface,peat_surface,63,Galloping Goose,,37.813727,-107.89493,3081,add the hike up site,3,5,13.8,system water temperature,2.4,-5.6,10.4,765.65,PRISM 1991-2020 800-m,,,,
MAWC.GG1B,peat,deep,peat_deep,64,Galloping Goose,,37.813727,-107.89493,3081,add the hike up site,15,17,13.8,system water temperature,2.4,-5.6,10.4,765.65,PRISM 1991-2020 800-m,,,,
MAWC.GG2A,peat,surface,peat_surface,65,Galloping Goose,,37.813727,-107.89493,3081,add the hike up site,3,5,13.8,system water temperature,2.4,-5.6,10.4,765.65,PRISM 1991-2020 800-m,,,,
MAWC.GG2B,peat,deep,peat_deep,66,Galloping Goose,,37.813727,-107.89493,3081,add the hike up site,69,71,13.8,system water temperature,2.4,-5.6,10.4,765.65,PRISM 1991-2020 800-m,,,,
MAWC.GG3A,peat,surface,peat_surface,67,Galloping Goose,,37.813727,-107.89493,3081,add the hike up site,3,5,13.8,system water temperature,2.4,-5.6,10.4,765.65,PRISM 1991-2020 800-m,,,,
MAWC.GG3B,peat,deep,peat_deep,68,Galloping Goose,,37.813727,-107.89493,3081,add the hike up site,70,72,13.8,system water temperature,2.4,-5.6,10.4,765.65,PRISM 1991-2020 800-m,,,,
MAWC.GG4A,peat,surface,peat_surface,69,Galloping Goose,,37.813727,-107.89493,3081,add the hike up site,3,5,13.8,system water temperature,2.4,-5.6,10.4,765.65,PRISM 1991-2020 800-m,,,,
MAWC.GG4B,peat,deep,peat_deep,70,Galloping Goose,,37.813727,-107.89493,3081,add the hike up site,10,12,13.8,system water temperature,2.4,-5.6,10.4,765.65,PRISM 1991-2020 800-m,,,,
MAWC.GG5A,peat,surface,peat_surface,71,Galloping Goose,,37.813727,-107.89493,3081,add the hike up site,3,5,13.8,system water temperature,2.4,-5.6,10.4,765.65,PRISM 1991-2020 800-m,,,,
MAWC.GG5B,peat,deep,peat_deep,72,Galloping Goose,,37.813727,-107.89493,3081,add the hike up site,18,20,13.8,system water temperature,2.4,-5.6,10.4,765.65,PRISM 1991-2020 800-m,,,,
MAWC.GM1A,peat,surface,peat_surface,73,Grand Mesa,,39.030716,-108.05043,3257,,3,5,19.4,system water temperature,1,-5.1,7.2,1188.77,PRISM 1991-2020 800-m,,,,
MAWC.GM1B,peat,deep,peat_deep,74,Grand Mesa,,39.030716,-108.05043,3257,,38,40,19.4,system water temperature,1,-5.1,7.2,1188.77,PRISM 1991-2020 800-m,,,,
MAWC.GM2A,peat,surface,peat_surface,75,Grand Mesa,,39.030716,-108.05043,3257,,3,5,19.4,system water temperature,1,-5.1,7.2,1188.77,PRISM 1991-2020 800-m,,,,
MAWC.GM3A,peat,surface,peat_surface,76,Grand Mesa,,39.030716,-108.05043,3257,,3,5,19.4,system water temperature,1,-5.1,7.2,1188.77,PRISM 1991-2020 800-m,,,,
MAWC.GM3B,peat,deep,peat_deep,77,Grand Mesa,,39.030716,-108.05043,3257,,36,38,19.4,system water temperature,1,-5.1,7.2,1188.77,PRISM 1991-2020 800-m,,,,
MAWC.LB1A,peat,surface,peat_surface,78,Little Bear,,44.937367,-109.51746,2915,,3,5,18.9,system water temperature,-0.4,-6.3,5.5,973.85,PRISM 1991-2020 800-m,,,,
MAWC.LB2A,peat,surface,peat_surface,79,Little Bear,,44.937367,-109.51746,2915,,3,5,18.9,system water temperature,-0.4,-6.3,5.5,973.85,PRISM 1991-2020 800-m,,,,
MAWC.LB2B,peat,deep,peat_deep,80,Little Bear,,44.937367,-109.51746,2915,,11,13,18.9,system water temperature,-0.4,-6.3,5.5,973.85,PRISM 1991-2020 800-m,,,,
MAWC.LB3A,peat,surface,peat_surface,81,Little Bear,,44.937367,-109.51746,2915,,3,5,18.9,system water temperature,-0.4,-6.3,5.5,973.85,PRISM 1991-2020 800-m,,,,
MAWC.LB3B,peat,deep,peat_deep,82,Little Bear,,44.937367,-109.51746,2915,,11,13,18.9,system water temperature,-0.4,-6.3,5.5,973.85,PRISM 1991-2020 800-m,,,,
MAWC.LB4A,peat,surface,peat_surface,83,Little Bear,,44.937367,-109.51746,2915,,3,5,18.9,system water temperature,-0.4,-6.3,5.5,973.85,PRISM 1991-2020 800-m,,,,
MAWC.LB4B,peat,deep,peat_deep,84,Little Bear,,44.937367,-109.51746,2915,,16,18,18.9,system water temperature,-0.4,-6.3,5.5,973.85,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_0_1_cm,peat,surface,peat_surface,85,LBFL21 peat core,,,,,,,,,,1.2,-4.9,7.3,1001.62,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_10_11_cm,peat,,peat_,86,LBFL21 peat core,,,,,,,,,,1.2,-4.9,7.3,1001.62,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_12_13_cm,peat,,peat_,87,LBFL21 peat core,,,,,,,,,,1.2,-4.9,7.3,1001.62,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_14_15_cm,peat,,peat_,88,LBFL21 peat core,,,,,,,,,,1.2,-4.9,7.3,1001.62,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_16_17_cm,peat,deep,peat_deep,89,LBFL21 peat core,,,,,,,,,,1.2,-4.9,7.3,1001.62,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_18_19_cm,peat,,peat_,90,LBFL21 peat core,,,,,,,,,,1.2,-4.9,7.3,1001.62,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_2_3_cm,peat,,peat_,91,LBFL21 peat core,,,,,,,,,,2.3,-4.2,8.8,547.03,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_20_21_cm,peat,,peat_,92,LBFL21 peat core,,,,,,,,,,2.3,-4.2,8.8,547.03,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_22_23_cm,peat,,peat_,93,LBFL21 peat core,,,,,,,,,,2.3,-4.2,8.8,547.03,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_24_25_cm,peat,,peat_,94,LBFL21 peat core,,,,,,,,,,2.3,-4.2,8.8,547.03,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_26_27_cm,peat,,peat_,95,LBFL21 peat core,,,,,,,,,,2.3,-4.2,8.8,547.03,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_28_29_cm,peat,,peat_,96,LBFL21 peat core,,,,,,,,,,2.3,-4.2,8.8,547.03,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_30_31_cm,peat,,peat_,97,LBFL21 peat core,,,,,,,,,,1.4,-5.1,7.9,881.88,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_32_33_cm,peat,,peat_,98,LBFL21 peat core,,,,,,,,,,1.4,-5.1,7.9,881.88,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_34_35_cm,peat,,peat_,99,LBFL21 peat core,,,,,,,,,,1.4,-5.1,7.9,881.88,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_36_37_cm,peat,,peat_,100,LBFL21 peat core,,,,,,,,,,1.4,-5.1,7.9,881.88,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_38_39_cm,peat,,peat_,101,LBFL21 peat core,,,,,,,,,,1.4,-5.1,7.9,881.88,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_4_5_cm,peat,,peat_,102,LBFL21 peat core,,,,,,,,,,1.2,-5.2,7.6,918.33,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_6_7_cm,peat,,peat_,103,LBFL21 peat core,,,,,,,,,,1.2,-5.2,7.6,918.33,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_1_8_9_cm,peat,,peat_,104,LBFL21 peat core,,,,,,,,,,1.2,-5.2,7.6,918.33,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_1_2_cm,peat,,peat_,105,LBFL21 peat core,,,,,,,,,,1.2,-5.2,7.6,918.33,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_11_12_cm,peat,,peat_,106,LBFL21 peat core,,,,,,,,,,1.2,-5.2,7.6,918.33,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_13_14_cm,peat,,peat_,107,LBFL21 peat core,,,,,,,,,,1.2,-5.2,7.6,918.33,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_15_16_cm,peat,,peat_,108,LBFL21 peat core,,,,,,,,,,1.2,-5.2,7.6,918.33,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_17_18_cm,peat,,peat_,109,LBFL21 peat core,,,,,,,,,,-0.1,-6,5.8,1009.6,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_19_20_cm,peat,,peat_,110,LBFL21 peat core,,,,,,,,,,-0.1,-6,5.8,1009.6,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_21_22_cm,peat,,peat_,111,LBFL21 peat core,,,,,,,,,,-0.1,-6,5.8,1009.6,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_23_24_cm,peat,,peat_,112,LBFL21 peat core,,,,,,,,,,-0.1,-6,5.8,1009.6,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_25_26_cm,peat,,peat_,113,LBFL21 peat core,,,,,,,,,,-0.1,-6,5.8,1009.6,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_27_28_cm,peat,,peat_,114,LBFL21 peat core,,,,,,,,,,-0.1,-6,5.8,1009.6,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_29_30_cm,peat,,peat_,115,LBFL21 peat core,,,,,,,,,,-0.1,-6,5.8,1009.6,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_3_4_cm,peat,,peat_,116,LBFL21 peat core,,,,,,,,,,-0.1,-6,5.8,1009.6,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_5_6_cm,peat,,peat_,117,LBFL21 peat core,,,,,,,,,,-0.5,-6.4,5.4,1160.76,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_7_8_cm,peat,,peat_,118,LBFL21 peat core,,,,,,,,,,-0.5,-6.4,5.4,1160.76,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_9_10_cm,peat,,peat_,119,LBFL21 peat core,,,,,,,,,,-0.5,-6.4,5.4,1160.76,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_warm_15_16_cm,peat,,peat_,120,LBFL21 peat core,,,,,,,,,,-0.5,-6.4,5.4,1160.76,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_warm_25_26_cm,peat,,peat_,121,LBFL21 peat core,,,,,,,,,,-0.5,-6.4,5.4,1160.76,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_warm_29_30_cm,peat,,peat_,122,LBFL21 peat core,,,,,,,,,,-0.5,-6.4,5.4,1160.76,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_2_warm_5_6_cm,peat,,peat_,123,LBFL21 peat core,,,,,,,,,,-0.5,-6.4,5.4,1160.76,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_3_1_2_cm,peat,,peat_,124,LBFL21 peat core,,,,,,,,,,-0.5,-6.4,5.4,1160.76,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_3_11_12_cm,peat,,peat_,125,LBFL21 peat core,,,,,,,,,,-0.3,-6.2,5.5,1034.57,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_3_13_14_cm,peat,,peat_,126,LBFL21 peat core,,,,,,,,,,-0.3,-6.2,5.5,1034.57,PRISM 1991-2020 800-m,,,,
MAWC.LBFL21_3_15_16_cm,peat,,peat_,127,LBFL21 peat core,,,,,,,,,,-0.3,-6.2,5.5,1034.57,PRISM 1991-2020 800-m,,,,
